timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-09-15,1375.0,1380.0,1360.65,1369.35,1366.7732,34545,0.0000,1.0
2020-09-14,1359.0,1388.0,1350.2,1368.85,1366.2742,37628,0.0000,1.0
2020-09-11,1373.0,1376.05,1351.0,1370.5,1367.9211,20529,0.0000,1.0
2020-09-10,1355.2,1382.0,1350.3,1370.6,1368.0209,90869,0.0000,1.0
2020-09-09,1353.95,1358.0,1321.2,1349.25,1346.711,153423,0.0000,1.0
2020-09-08,1422.0,1459.95,1350.0,1378.05,1375.4569,143871,0.0000,1.0
2020-09-07,1385.55,1450.85,1365.9,1414.4,1411.7385,338137,0.0000,1.0
2020-09-04,1360.0,1370.0,1350.0,1365.55,1362.9804,14698,0.0000,1.0
2020-09-03,1371.0,1387.0,1363.8,1368.55,1365.9747,20607,0.0000,1.0
2020-09-02,1365.0,1369.0,1354.8,1359.3,1356.7421,17788,0.0000,1.0
2020-09-01,1336.0,1365.15,1336.0,1351.2,1348.6574,21049,0.0000,1.0
2020-08-31,1390.0,1395.0,1335.1,1342.7,1340.1734,90739,0.0000,1.0
2020-08-28,1369.95,1378.0,1363.1,1366.9,1364.3278,48907,0.0000,1.0
2020-08-27,1375.0,1382.7,1365.0,1367.55,1364.9766,21525,0.0000,1.0
2020-08-26,1344.0,1386.8,1344.0,1369.25,1366.6734,132825,0.0000,1.0
2020-08-25,1349.0,1355.0,1340.0,1342.0,1339.4747,17982,0.0000,1.0
2020-08-24,1342.0,1348.0,1336.0,1337.95,1335.4323,17697,0.0000,1.0
2020-08-21,1349.9,1359.0,1336.2,1341.35,1338.8259,18777,0.0000,1.0
2020-08-20,1342.05,1356.65,1330.4,1346.65,1344.1159,102637,0.0000,1.0
2020-08-19,1380.0,1401.8,1338.05,1363.0,1360.4352,57111,0.0000,1.0
2020-08-18,1382.7,1389.6,1376.0,1377.55,1374.9578,14397,0.0000,1.0
2020-08-17,1383.9,1402.95,1360.45,1382.6,1379.9983,43813,0.0000,1.0
2020-08-14,1389.5,1408.75,1352.0,1368.15,1365.5755,58533,0.0000,1.0
2020-08-13,1399.0,1411.75,1355.0,1383.4,1380.7968,111007,0.0000,1.0
2020-08-12,1355.0,1413.9,1315.6,1387.3,1384.6894,96730,0.0000,1.0
2020-08-11,1320.3,1384.3,1313.7,1371.6,1369.019,163602,0.0000,1.0
2020-08-10,1326.05,1335.0,1320.0,1324.15,1321.6583,60907,0.0000,1.0
2020-08-07,1344.0,1344.0,1330.1,1331.75,1329.244,17284,0.0000,1.0
2020-08-06,1336.1,1346.3,1331.0,1334.2,1331.6894,15222,0.0000,1.0
